predictive_score,relevancy_score,students,reviews,duration,rating,p_level_all,p_level_int,p_level_beg,p_level_exp,last_updated,list_price,cat_match,subcat_match,topic_match,is_free
5.3612213,1049.2878,35.0,4.0,2.5,5.0,0,0,1,0,85.0,34.99,1,1.0,0,0
0.30988148,1343.5913,1039.0,31.0,0.5,4.46,0,0,1,0,310.0,0.0,0,0.0,0,1
5.4387918,1046.9769,61.0,4.0,3.0,5.0,1,0,0,0,177.0,19.99,1,1.0,1,0
5.361998,1047.2664,7569.0,25.0,6.5,4.32,0,0,1,0,288.0,19.99,1,1.0,1,0
5.2687955,1336.576,10.0,3.0,3.5,4.68,1,0,0,0,40.0,29.99,1,1.0,0,0
5.351713,1056.0457,26.0,2.0,2.0,4.27,1,0,0,0,212.0,19.99,1,1.0,1,0
5.455243,1350.3239,23.0,3.0,8.0,4.82,0,0,1,0,207.0,159.99,1,1.0,1,0
5.122391,1057.6852,0.0,0.0,1.0,0.0,0,0,1,0,195.0,19.99,1,1.0,1,0
5.4997315,1336.3591,23.0,5.0,7.0,4.8,0,1,0,0,193.0,99.99,1,1.0,1,0
5.3907,1051.7417,6929.0,44.0,30.5,3.58,1,0,0,0,47.0,129.99,1,1.0,0,0
5.429078,1045.2898,10.0,4.0,2.0,5.0,1,0,0,0,146.0,19.99,1,1.0,1,0
5.056529,1042.5953,9.0,0.0,3.0,0.0,0,0,0,1,12.0,44.99,1,0.0,0,0
5.341232,1046.2654,13.0,1.0,17.0,4.5,0,0,0,1,124.0,24.99,1,1.0,1,0
5.336137,1042.2338,16.0,3.0,4.5,4.45,1,0,0,0,140.0,34.99,1,1.0,0,0
5.102113,1040.2386,110.0,6.0,11.5,4.84,0,0,1,0,33.0,199.99,0,0.0,0,0
5.1157656,1040.2925,707.0,28.0,6.0,4.5,0,1,0,0,11.0,99.99,0,0.0,0,0
5.2738266,1043.6111,7697.0,1512.0,13.0,4.13,1,0,0,0,568.0,199.99,0,0.0,0,0
5.2252626,1047.5538,23337.0,4066.0,19.5,4.43,0,0,1,0,46.0,199.99,1,0.0,0,0
5.098965,1075.2667,4518.0,750.0,16.0,4.44,0,1,0,0,215.0,29.99,1,0.0,1,0
5.249699,1344.206,6173.0,1686.0,1.0,4.18,0,0,1,0,1101.0,19.99,0,0.0,0,0
5.353728,1346.3707,3938.0,650.0,3.0,4.34,0,0,1,0,1325.0,19.99,1,1.0,1,0
5.101147,1315.3977,1590.0,295.0,2.5,3.92,0,0,1,0,806.0,24.99,1,1.0,0,0
5.282973,1330.0228,368.0,76.0,0.0,3.59,1,0,0,0,1280.0,19.99,1,0.0,0,0
5.2807016,1327.2913,919.0,192.0,4.5,3.38,1,0,0,0,1054.0,54.99,1,0.0,1,0
5.1013165,1329.8842,1485.0,145.0,1.0,4.39,0,0,1,0,264.0,144.99,1,1.0,0,0
5.137547,1340.1774,748.0,89.0,1.5,4.13,0,1,0,0,1314.0,49.99,1,0.0,1,0
5.2735915,1335.2664,565.0,44.0,1.5,4.19,0,1,0,0,1268.0,49.99,0,0.0,1,0
5.120589,1334.2142,373.0,43.0,2.5,4.29,1,0,0,0,1243.0,144.99,1,1.0,0,0
5.134335,1320.3533,365.0,30.0,1.0,3.67,0,1,0,0,1236.0,49.99,1,0.0,1,0
5.2901826,1337.0323,5500.0,50.0,5.0,4.15,0,0,1,0,724.0,19.99,1,0.0,1,0
5.282756299999999,1044.5914,45057.0,8765.0,5.5,4.31,0,0,1,0,203.0,199.99,0,0.0,0,0
5.07624,1054.6896,49.0,11.0,2.5,3.84,1,0,0,0,1163.0,24.99,0,0.0,0,0
5.07624,1054.6896,49.0,11.0,2.5,3.84,1,0,0,0,1163.0,24.99,0,0.0,0,0
5.3023505,1346.3105,599.0,94.0,8.5,4.06,0,0,1,0,1567.0,49.99,0,0.0,0,0
5.228805,1043.925,2194.0,224.0,2.5,3.78,1,0,0,0,713.0,199.99,0,0.0,0,0
5.16628,1051.5605,868.0,190.0,3.0,4.4,0,0,1,0,1163.0,29.99,0,0.0,0,0
5.2391324,1310.3381,256.0,14.0,3.5,3.5,0,1,0,0,1407.0,89.98999999999998,0,0.0,0,0
5.0950074,1324.8665,133.0,14.0,11.0,3.12,0,0,1,0,1262.0,199.99,0,0.0,0,0
5.3986397,1048.146,6025.0,3231.0,8.0,4.46,0,0,1,0,287.0,24.99,0,0.0,0,0
5.1102953,1317.5476,319.0,32.0,6.5,3.96,0,0,0,1,1010.0,124.99,1,1.0,0,0
5.2570014,1395.0522,608.0,123.0,6.0,4.5,0,1,0,0,988.0,19.99,0,0.0,0,0
5.1057773,1325.3729999999998,161.0,40.0,5.5,3.89,1,0,0,0,995.0,19.99,1,0.0,0,0
5.2285967,1043.8727,9418.0,255.0,15.0,4.25,1,0,0,0,649.0,199.99,0,0.0,0,0
